health,age,action,Dead,no AAA,<30 mm,30-35 mm,35-40 mm,40-45 mm,45-50 mm,50-55 mm,55-60 mm,60-65 mm,65-70 mm,70-75 mm,75-80 mm,> 80 mm
Dead,30,surgery,1,0,0,0,0,0,0,0,0,0,0,0,0,0
no AAA,30,surgery,0.05,0.95,0,0,0,0,0,0,0,0,0,0,0,0
<30 mm,30,surgery,0.06,0.94,0,0,0,0,0,0,0,0,0,0,0,0
30-35 mm,30,surgery,0.07,0.93,0,0,0,0,0,0,0,0,0,0,0,0
35-40 mm,30,surgery,0.08,0.92,0,0,0,0,0,0,0,0,0,0,0,0
40-45 mm,30,surgery,0.09,0.91,0,0,0,0,0,0,0,0,0,0,0,0
45-50 mm,30,surgery,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0
50-55 mm,30,surgery,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0
55-60 mm,30,surgery,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0
60-65 mm,30,surgery,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0
65-70 mm,30,surgery,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0
70-75 mm,30,surgery,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0
75-80 mm,30,surgery,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0
> 80 mm,30,surgery,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0
Dead,30,surveillance,1,0,0,0,0,0,0,0,0,0,0,0,0,0
no AAA,30,surveillance,0.01,0.99,0,0,0,0,0,0,0,0,0,0,0,0
<30 mm,30,surveillance,0.1,0.1,0.6,0.2,0,0,0,0,0,0,0,0,0,0
30-35 mm,30,surveillance,0.11,0.09,0,0.59,0.21,0,0,0,0,0,0,0,0,0
35-40 mm,30,surveillance,0.12,0.08,0,0,0.58,0.22,0,0,0,0,0,0,0,0
40-45 mm,30,surveillance,0.13,0.07,0,0,0,0.57,0.23,0,0,0,0,0,0,0
45-50 mm,30,surveillance,0.14,0.06,0,0,0,0,0.56,0.24,0,0,0,0,0,0
50-55 mm,30,surveillance,0.15,0.05,0,0,0,0,0,0.55,0.25,0,0,0,0,0
55-60 mm,30,surveillance,0.16,0.04,0,0,0,0,0,0,0.54,0.26,0,0,0,0
60-65 mm,30,surveillance,0.17,0.03,0,0,0,0,0,0,0,0.54,0.26,0,0,0
65-70 mm,30,surveillance,0.18,0.02,0,0,0,0,0,0,0,0,0.54,0.26,0,0
70-75 mm,30,surveillance,0.19,0.01,0,0,0,0,0,0,0,0,0,0.54,0.26,0
75-80 mm,30,surveillance,0.2,0,0,0,0,0,0,0,0,0,0,0,0.54,0.26
> 80 mm,30,surveillance,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0.84
Dead,60,surgery,1,0,0,0,0,0,0,0,0,0,0,0,0,0
no AAA,60,surgery,0.05,0.95,0,0,0,0,0,0,0,0,0,0,0,0
<30 mm,60,surgery,0.07,0.93,0,0,0,0,0,0,0,0,0,0,0,0
30-35 mm,60,surgery,0.09,0.91,0,0,0,0,0,0,0,0,0,0,0,0
35-40 mm,60,surgery,0.11,0.89,0,0,0,0,0,0,0,0,0,0,0,0
40-45 mm,60,surgery,0.13,0.87,0,0,0,0,0,0,0,0,0,0,0,0
45-50 mm,60,surgery,0.15,0.85,0,0,0,0,0,0,0,0,0,0,0,0
50-55 mm,60,surgery,0.17,0.83,0,0,0,0,0,0,0,0,0,0,0,0
55-60 mm,60,surgery,0.19,0.81,0,0,0,0,0,0,0,0,0,0,0,0
60-65 mm,60,surgery,0.21,0.79,0,0,0,0,0,0,0,0,0,0,0,0
65-70 mm,60,surgery,0.23,0.77,0,0,0,0,0,0,0,0,0,0,0,0
70-75 mm,60,surgery,0.25,0.75,0,0,0,0,0,0,0,0,0,0,0,0
75-80 mm,60,surgery,0.27,0.73,0,0,0,0,0,0,0,0,0,0,0,0
> 80 mm,60,surgery,0.29,0.71,0,0,0,0,0,0,0,0,0,0,0,0
Dead,60,surveillance,1,0,0,0,0,0,0,0,0,0,0,0,0,0
no AAA,60,surveillance,0.09,0.91,0,0,0,0,0,0,0,0,0,0,0,0
<30 mm,60,surveillance,0.2,0.1,0.5,0.2,0,0,0,0,0,0,0,0,0,0
30-35 mm,60,surveillance,0.21,0.09,0,0.5,0.2,0,0,0,0,0,0,0,0,0
35-40 mm,60,surveillance,0.22,0.08,0,0,0.5,0.2,0,0,0,0,0,0,0,0
40-45 mm,60,surveillance,0.23,0.07,0,0,0,0.5,0.2,0,0,0,0,0,0,0
45-50 mm,60,surveillance,0.24,0.06,0,0,0,0,0.5,0.2,0,0,0,0,0,0
50-55 mm,60,surveillance,0.25,0.05,0,0,0,0,0,0.5,0.2,0,0,0,0,0
55-60 mm,60,surveillance,0.26,0.04,0,0,0,0,0,0,0.5,0.2,0,0,0,0
60-65 mm,60,surveillance,0.27,0.03,0,0,0,0,0,0,0,0.5,0.2,0,0,0
65-70 mm,60,surveillance,0.28,0.02,0,0,0,0,0,0,0,0,0.5,0.2,0,0
70-75 mm,60,surveillance,0.29,0.01,0,0,0,0,0,0,0,0,0,0.5,0.2,0
75-80 mm,60,surveillance,0.3,0,0,0,0,0,0,0,0,0,0,0,0.5,0.2
> 80 mm,60,surveillance,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0.69
